"filename", "language", "JavaScript", "TypeScript", "JSON", "CSS", "TypeScript React", "JavaScript React", "HTML", "JSON with Comments", "XML", "Markdown", "comment", "blank", "total"
"/home/amit/buffer-ui/.eslintrc.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 65
"/home/amit/buffer-ui/.prettierrc", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/amit/buffer-ui/config/axios.tsx", "TypeScript React", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
"/home/amit/buffer-ui/config/connectors.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/amit/buffer-ui/config/index.ts", "TypeScript", 0, 460, 0, 0, 0, 0, 0, 0, 0, 0, 128, 26, 614
"/home/amit/buffer-ui/fonts.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 86, 4, 118
"/home/amit/buffer-ui/index.css", "CSS", 0, 0, 0, 2297, 0, 0, 0, 0, 0, 0, 132, 431, 2860
"/home/amit/buffer-ui/index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/home/amit/buffer-ui/package-lock.json", "JSON", 0, 0, 15318, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15319
"/home/amit/buffer-ui/package.json", "JSON", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"/home/amit/buffer-ui/postcss.config.cjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/amit/buffer-ui/public/ComponentSVGS/CoinsUp.tsx", "TypeScript React", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"/home/amit/buffer-ui/public/ComponentSVGS/DownTriangle.tsx", "TypeScript React", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/home/amit/buffer-ui/public/ComponentSVGS/Edit.tsx", "TypeScript React", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"/home/amit/buffer-ui/public/ComponentSVGS/Quick.tsx", "TypeScript React", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/home/amit/buffer-ui/public/ComponentSVGS/Star.tsx", "TypeScript React", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"/home/amit/buffer-ui/public/ComponentSVGS/UpTriangle.tsx", "TypeScript React", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/home/amit/buffer-ui/public/ComponentSVGS/bufferLogo.tsx", "TypeScript React", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/home/amit/buffer-ui/public/ComponentSVGS/wallet.tsx", "TypeScript React", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"/home/amit/buffer-ui/public/LeaderBoard/Daily.tsx", "TypeScript React", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/home/amit/buffer-ui/public/LeaderBoard/PNL.tsx", "TypeScript React", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"/home/amit/buffer-ui/public/LeaderBoard/Trophy.tsx", "TypeScript React", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 3, 39
"/home/amit/buffer-ui/public/Social/Blue/Discord.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"/home/amit/buffer-ui/public/Social/Blue/Telegram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/amit/buffer-ui/public/Social/Blue/Twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/amit/buffer-ui/public/Social/DD/discord.tsx", "TypeScript React", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/home/amit/buffer-ui/public/Social/DD/gitbook.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"/home/amit/buffer-ui/public/Social/DD/github.tsx", "TypeScript React", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/home/amit/buffer-ui/public/Social/DD/medium.tsx", "TypeScript React", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"/home/amit/buffer-ui/public/Social/DD/telegram.tsx", "TypeScript React", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"/home/amit/buffer-ui/public/Social/DD/twitter.tsx", "TypeScript React", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/home/amit/buffer-ui/public/Social/Discord.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"/home/amit/buffer-ui/public/Social/Telegram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/amit/buffer-ui/public/Social/Twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/amit/buffer-ui/public/Social/discord.tsx", "TypeScript React", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/home/amit/buffer-ui/public/Social/github.tsx", "TypeScript React", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"/home/amit/buffer-ui/public/Social/medium.tsx", "TypeScript React", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/home/amit/buffer-ui/public/Social/telegram.tsx", "TypeScript React", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/home/amit/buffer-ui/public/Social/twitter.tsx", "TypeScript React", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"/home/amit/buffer-ui/public/Triangle_Down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/amit/buffer-ui/public/Triangle_Up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
